#TAXONOMY	Domain	Phylum	Class	Order	Family	Genus	Species
KT946776	Bacteria	 Actinomycetota	 Actinomycetes	 Actinomycetales	 Micrococcaceae	 Arthrobacter_B_385183	 Arthrobacter_B ginkgonis
G001426485	Bacteria	 Actinomycetota	 Actinomycetes	 Propionibacteriales	 Nocardioidaceae	 Aeromicrobium	 Aeromicrobium sp001426485
MJ034-1-barcode30-umi20391bins-ubs-10	Bacteria	 Armatimonadota	 Chthonomonadetes	 Chthonomonadales	 Chthonomonadaceae	 Chthonomonas	 Chthonomonas calidirosea
MJ030-2-barcode65-umi6257bins-ubs-59	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Limnovirga	 Limnovirga sp002390845
MJ033-1-barcode32-umi6342bins-ubs-59	Bacteria	 Acidobacteriota	 Terriglobia	 Terriglobales	 Acidobacteriaceae	 Edaphobacter_415416	 Edaphobacter aggregans
KF360052	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Caulobacterales	 Caulobacteraceae	 17J80-11	 17J80-11 sp010975005
MJ034-1-barcode48-umi24001bins-ubs-6	Bacteria	 Acidobacteriota	 Terriglobia	 Terriglobales	 Koribacteraceae	 Koribacter	 
RS-GCF-000716785.1-NZ-JNYY01000048.1	Bacteria	 Actinomycetota	 Actinomycetes	 Mycobacteriales	 Pseudonocardiaceae	 Amycolatopsis_D_380522	 Yuhushiella stemonae
MJ033-1-barcode37-umi2162bins-ubs-170	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 	 
MJ033-1-barcode36-umi8078bins-ubs-40	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Limisphaerales	 Pedosphaeraceae	 Pedosphaera	 Pedosphaera sp000172555
MJ033-1-barcode32-umi15001bins-ubs-18	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Xanthomonadales	 Rhodanobacteraceae	 Dyella_B	 Dyella_B jiangningensis
MJ034-1-barcode31-umi10246bins-ubs-36	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Burkholderiales	 Usitatibacteraceae	 	 
KT946774	Bacteria	 Actinomycetota	 Actinomycetes	 Mycobacteriales	 Micromonosporaceae	 Hamadaea	 Hamadaea flava
MJ020-1-barcode31-umi20920bins-ubs-19	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Flavisolibacter_B	 Flavisolibacter_B nicotianae
MJ030-2-barcode50-umi124889bins-ubs-3	Bacteria	 Planctomycetota	 Phycisphaerae	 Tepidisphaerales	 Tepidisphaeraceae	 UBA2421	 
G000434535	Bacteria	 Actinomycetota	 Coriobacteriia	 Coriobacteriales	 Coriobacteriaceae	 Collinsella	 Collinsella sp000434535
MJ033-1-barcode49-umi3612bins-ubs-111	Bacteria	 Bacteroidota	 Bacteroidia	 Cytophagales_B	 Cyclobacteriaceae	 ELB16-189	 ELB16-189 sp001567185
LC033898	Bacteria	 Actinomycetota	 Actinomycetes	 Mycobacteriales	 Micromonosporaceae	 Micromonospora_H_372070	 Micromonospora_H_372070 fluostatini
MJ033-1-barcode36-umi7140bins-ubs-49	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Limisphaerales	 Pedosphaeraceae	 Pedosphaera	 Pedosphaera sp000172555
MJ030-1-barcode25-umi97891bins-ubs-6	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales_A_650612	 Porticoccaceae	 SZUA-272	 
MJ034-2-barcode50-umi1810bins-ubs-244	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 VBAR01	 VBAR01 sp005882315
MJ030-2-barcode65-umi3328bins-ubs-81	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Verrucomicrobiales	 Verrucomicrobiaceae	 	 
CP002299	Bacteria	 Actinomycetota	 Actinomycetes	 Mycobacteriales	 Frankiaceae	 Pseudofrankia	 Pseudofrankia inefficax
MJ034-1-barcode26-umi25145bins-ubs-6	Bacteria	 Acidobacteriota	 Terriglobia	 Bryobacterales	 Bryobacteraceae	 Palsa-187	 Palsa-187 sp902826605
G000445105	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae_486827	 Sphingobium_A_485959	 Sphingobium_A_485959 lactosutens
MJ030-1-barcode42-umi37489bins-ubs-13	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Limisphaerales	 Pedosphaeraceae	 Pedosphaera	 Pedosphaera sp000172555
MJ030-2-barcode65-umi62852bins-ubs-9	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Limisphaerales	 UBA3939	 UBA3939	 UBA3939 sp002385705
EU672804	Bacteria	 Bacteroidota	 Bacteroidia	 Sphingobacteriales	 Sphingobacteriaceae	 Mucilaginibacter_A	 Mucilaginibacter_A gossypii
MJ034-1-barcode40-umi30832bins-ubs-3	Bacteria	 Armatimonadota	 Armatimonadia	 Armatimonadales	 Capsulimonadaceae	 Capsulimonas	 Capsulimonas corticalis
MJ034-1-barcode48-umi13038bins-ubs-25	Bacteria	 Acidobacteriota	 Terriglobia	 Versatilivoradales	 	 	 
AB305640	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Verrucomicrobiales	 Verrucomicrobiaceae	 Prosthecobacter	 Prosthecobacter sp002279765
MJ030-2-barcode62-umi71029bins-ubs-8	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Rhizobiales_505101	 Rhizobiaceae	 Martelella	 
MJ030-2-barcode65-umi45966bins-ubs-15	Bacteria	 Bacillota_I	 Bacilli_A	 Bacillales_A	 Planococcaceae	 Sporosarcina	 
RS-GCF-904830875.1-NZ-CAJGVB010000030.1	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae_486827	 Sphingobium_A_485959	 Sphingobium_A_485959 mellinum
