#TAXONOMY	Domain	Phylum	Class	Order	Family	Genus	Species
RS-GCF-019039055.1-NZ-JAHOPB010000001.1	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Reyranellales	 Reyranellaceae	 Reyranella	 Reyranella aquatilis
MJ034-1-barcode30-umi12575bins-ubs-27	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Xanthomonadales	 Rhodanobacteraceae	 Rudaea	 
FJ434127	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae_486827	 Sphingomonas_N_483429	 Sphingomonas_N_483429 sp000383095
MJ034-1-barcode48-umi26676bins-ubs-4	Bacteria	 Bacillota_I	 Bacilli_A	 Paenibacillales	 Paenibacillaceae_367444	 Paenibacillus_J_366884	 Paenibacillus_J_366884 xylanexedens_A
MH368764	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Xanthomonadales	 Rhodanobacteraceae	 LMSL01	 LMSL01 sp001428405
RS-GCF-010731755.1-NZ-AP022589.1--2	Bacteria	 Actinomycetota	 Actinomycetes	 Mycobacteriales	 Mycobacteriaceae	 Mycobacterium	 
G000164865	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales_737866	 Enterobacteriaceae_A_725029	 Enterobacter_B_725000	 Enterobacter_B_725000 lignolyticus
MJ010-1-barcode26-umi85141bins-ubs-8	Bacteria	 Acidobacteriota	 Terriglobia	 Bryobacterales	 Bryobacteraceae	 	 
MJ030-2-barcode59-umi64586bins-ubs-9	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae_486827	 Parasphingorhabdus	 
MJ020-2-barcode52-umi47458bins-ubs-9	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 	 
DQ401093	Bacteria	 Actinomycetota	 Actinomycetes	 Propionibacteriales	 Nocardioidaceae	 Nocardioides_A_392796	 Nocardioides_A_392796 sp001627335
MJ034-1-barcode48-umi17800bins-ubs-14	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Cnuella	 
MJ030-2-barcode65-umi114165bins-ubs-3	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Micropepsales	 Micropepsaceae	 	 
MJ020-1-barcode31-umi20252bins-ubs-20	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Steroidobacterales	 Steroidobacteraceae	 	 
FJ872109	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Burkholderiales	 Methylophilaceae	 Methylophilus	 Methylophilus sp001424665
MJ034-1-barcode40-umi26645bins-ubs-5	Bacteria	 Bacillota_I	 Bacilli_A	 Paenibacillales	 Paenibacillaceae_367444	 Paenibacillus_AH	 Paenibacillus_AH cisolokensis
MJ034-2-barcode71-umi18610bins-ubs-3	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Chthoniobacterales	 Terrimicrobiaceae	 Terrimicrobium	 Terrimicrobium sacchariphilum
MJ034-1-barcode48-umi25329bins-ubs-5	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Limisphaerales	 Pedosphaeraceae	 Pedosphaera	 Pedosphaera sp000172555
MJ034-1-barcode48-umi19505bins-ubs-11	Bacteria	 Acidobacteriota	 Blastocatellia	 Pyrinomonadales	 Pyrinomonadaceae	 PSRF01	 PSRF01 sp003222935
DQ335215	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Caulobacterales	 Caulobacteraceae	 Brevundimonas	 Brevundimonas terrae
AB682226	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales_B_877923	 Flavobacteriaceae	 Flavobacterium	 Flavobacterium cauense
MJ033-1-barcode34-umi38844bins-ubs-4	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Limisphaerales	 Pedosphaeraceae	 Pedosphaera	 Pedosphaera sp000172555
MG234279	Bacteria	 Actinomycetota	 Actinomycetes	 Actinomycetales	 Microbacteriaceae	 Microbacterium_A_383321	 Microbacterium_A_383321 sp001427525
G002280885	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Rhizobiales_505101	 Hyphomicrobiaceae	 Hyphomicrobium_C	 Hyphomicrobium_C sp002279935
RS-GCF-013302025.1-NZ-JAAIPK010000186.1	Bacteria	 Bacillota_A_368345	 Clostridia_258483	 Lachnospirales	 Lachnospiraceae	 Blautia_A_141781	 Blautia_A_141781 wexlerae
GB-GCA-002261155.1-NKXN01000066.1	Bacteria	 Bacillota_I	 Bacilli_A	 Bacillales_B_306087	 Domibacillaceae	 	 
MJ030-1-barcode42-umi31594bins-ubs-17	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae_A_595421	 Noviherbaspirillum_A_568106	 Noviherbaspirillum_A_568106 aurantiacum
GB-GCA-018266075.1-JAFEBB010000026.1	Bacteria	 Myxococcota_A_473307	 Myxococcia	 Myxococcales	 Myxococcaceae	 	 
AY129753	Bacteria	 Actinomycetota	 Actinomycetes	 Mycobacteriales	 Pseudonocardiaceae	 Amycolatopsis_D_380522	 Amycolatopsis_D_380532 australiensis
MJ030-2-barcode65-umi47060bins-ubs-16	Bacteria	 Acidobacteriota	 Terriglobia	 Versatilivoradales	 	 	 
JF809864	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Burkholderiales	 Chitinibacteraceae	 Jeongeupia	 Jeongeupia chitinilytica
MJ034-1-barcode48-umi28696bins-ubs-3	Bacteria	 Elusimicrobiota	 Elusimicrobia_984204	 2-01-FULL-59-12	 2-01-FULL-59-12	 2-01-FULL-59-12	 2-01-FULL-59-12 sp001800075
GB-GCA-900119745.1-FPKQ01000043.1	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Rhizobiales_505101	 Rhizobiaceae	 Mesorhizobium_I	 
RS-GCF-003286395.1-NZ-CP029640.1	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae_A_595421	 Paraburkholderia_580243	 Paraburkholderia sacchari
MJ034-2-barcode65-umi535bins-ubs-608	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Flavihumibacter	 Flavihumibacter solisilvae
MJ034-2-barcode65-umi4474bins-ubs-72	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales_B_877923	 Flavobacteriaceae	 Flavobacterium	 Flavobacterium sangjuense
AJ011760	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Rhizobiales_505101	 Rhizobiaceae	 Aminobacter	 Aminobacter aganoensis
RS-GCF-003951535.1-NZ-RPDN01000052.1	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales_737866	 Enterobacteriaceae_A_725029	 Klebsiella_724518	 Klebsiella aerogenes
RS-GCF-001922345.1-NZ-CP018812.1	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae_A_595421	 Paraburkholderia_580243	 Paraburkholderia sacchari
MJ030-2-barcode65-umi2736bins-ubs-92	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae_A_595421	 Hylemonella	 Ramlibacter terrae
MJ032-2-barcode70-umi1760bins-ubs-146	Bacteria	 Cyanobacteriota	 Cyanobacteriia	 Cyanobacteriales	 Coleofasciculaceae	 Caldora	 Caldora sp010672925
MJ034-1-barcode25-umi16101bins-ubs-17	Bacteria	 Acidobacteriota	 Terriglobia	 Versatilivoradales	 	 	 
AB266597	Bacteria	 Actinomycetota	 Actinomycetes	 Actinomycetales	 Microbacteriaceae	 Curtobacterium	 Curtobacterium sp001422205
Y14310	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Rhizobiales_505101	 Hyphomicrobiaceae	 Hyphomicrobium_B_496627	 Hyphomicrobium_B_496603 facile
MJ034-2-barcode65-umi16624bins-ubs-4	Bacteria	 Chloroflexota	 Anaerolineae	 Caldilineales	 Caldilineaceae	 	 
EF626689	Bacteria	 Actinomycetota	 Actinomycetes	 Propionibacteriales	 Nocardioidaceae	 Nocardioides_A_392796	 Nocardioides_A_392796 fonticola
MJ030-1-barcode25-umi25731bins-ubs-19	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae_A_593909	 Achromobacter	 Achromobacter marplatensis
MJ034-2-barcode60-umi6700bins-ubs-36	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Niastella	 Niastella hibisci
MJ034-1-barcode48-umi21705bins-ubs-9	Bacteria	 Acidobacteriota	 Terriglobia	 Versatilivoradales	 	 	 
MJ007-2-barcode74-umi5466bins-ubs-70	Bacteria	 CG2-30-53-67	 CG2-30-53-67	 CG2-30-53-67	 CG2-30-53-67	 CG2-30-53-67	 Haliangium tepidum
KF040589	Bacteria	 Bacillota_I	 Bacilli_A	 Bacillales_B_306087	 Bacillaceae_C_302577	 Lederbergia_A_302195	 Lederbergia_A_302195 wuyishanensis
G000779535	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales_737866	 Enterobacteriaceae_A_725029	 Escherichia	 
MJ030-2-barcode65-umi39573bins-ubs-20	Bacteria	 Acidobacteriota	 Terriglobia	 Bryobacterales	 Bryobacteraceae	 	 
MJ030-2-barcode74-umi13664bins-ubs-38	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Verrucomicrobiales	 Verrucomicrobiaceae	 	 
MJ010-1-barcode26-umi60837bins-ubs-12	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae_A_595421	 Noviherbaspirillum_A_569121	 Noviherbaspirillum_A_569121 sp001428545
DQ157760	Bacteria	 Actinomycetota	 Actinomycetes	 Mycobacteriales	 Mycobacteriaceae	 Mycobacterium	 Mycobacterium arupense
AB537169	Bacteria	 Actinomycetota	 Actinomycetes	 Actinomycetales	 Dermabacteraceae	 Brachybacterium	 Brachybacterium conglomeratum
MJ031-1-barcode30-umi32864bins-ubs-6	Bacteria	 Acidobacteriota	 Blastocatellia	 UBA7656	 UBA7656	 QHVH01	 QHVH01 sp003222245
G010993745	Bacteria	 Actinomycetota	 Actinomycetes	 Mycobacteriales	 HKI-0501	 Fodinicola	 Fodinicola acaciae
MJ020-1-barcode41-umi85121bins-ubs-4	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Flavipsychrobacter	 Flavipsychrobacter stenotrophus
MJ030-2-barcode50-umi10490bins-ubs-46	Bacteria	 Acidobacteriota	 Terriglobia	 Terriglobales	 Acidobacteriaceae	 KBS-83	 KBS-83 sp000381585
AMXE01000135	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Burkholderiales	 Rhodocyclaceae	 Thauera	 Thauera butanivorans
MJ034-1-barcode31-umi24808bins-ubs-5	Bacteria	 Acidobacteriota	 Terriglobia	 Bryobacterales	 Bryobacteraceae	 	 
AB514519	Bacteria	 Actinomycetota	 Actinomycetes	 Mycobacteriales	 Pseudonocardiaceae	 Actinomycetospora	 Actinomycetospora succinea
MJ033-1-barcode34-umi12237bins-ubs-25	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae_A_595421	 Paraburkholderia_580243	 Paraburkholderia sacchari
RS-GCF-000410615.1-NZ-APCQ01000135.1	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae_486827	 Novosphingobium	 Novosphingobium sp012932495
RS-GCF-001669335.1-NZ-LZLL01000080.1	Bacteria	 Actinomycetota	 Actinomycetes	 Mycobacteriales	 Mycobacteriaceae	 Mycobacterium	 Mycobacterium avium
RS-GCF-006965545.2-NZ-CP041372.2--7	Bacteria	 Bacillota_I	 Bacilli_A	 Bacillales_H_361473	 Salisediminibacteriaceae	 	 
MJ033-1-barcode34-umi4989bins-ubs-81	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Limisphaerales	 Pedosphaeraceae	 Pedosphaera	 Pedosphaera sp000172555
GB-GCA-015243575.1-CP042469.1--3	Bacteria	 Bacillota_A_368345	 Clostridia_258483	 Peptostreptococcales	 Anaerovoracaceae	 Anaerovorax	 Anaerovorax odorimutans
AB842299	Bacteria	 Actinomycetota	 Actinomycetes	 Streptosporangiales	 Streptosporangiaceae	 Sphaerisporangium_394618	 Sphaerisporangium melleum
G001278035	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae_486827	 Sphingopyxis_485592	 Sphingopyxis sp001278035
G000497755	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Rhizobiales_505101	 Rhizobiaceae	 Aliihoeflea	 Aliihoeflea sp000497755
MN099417	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae_486827	 Sphingomonas_R_483234	 Sphingomonas sinipercae
RS-GCF-018274385.1-NZ-JAAFYZ010000481.1	Bacteria	 Actinomycetota	 Actinomycetes	 Streptomycetales_400645	 Catenulisporaceae	 Catenulispora	 Catenulispora acidiphila
MJ030-2-barcode65-umi51710bins-ubs-14	Bacteria	 Acidobacteriota	 Terriglobia	 Bryobacterales	 Bryobacteraceae	 	 
MJ033-1-barcode34-umi27984bins-ubs-10	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Limisphaerales	 UBA11358	 UBA11358	 UBA11358 sp003455565
GB-GCA-902636645.1-CACPSA010000106.1	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales_A_650611	 Pseudomonadaceae	 Pseudomonas_E_647464	 
MJ033-1-barcode38-umi34113bins-ubs-5	Bacteria	 Acidobacteriota	 Thermoanaerobaculia	 UBA5066	 	 	 
MJ031-1-barcode27-umi34559bins-ubs-6	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae_A_595421	 Hylemonella	 Ramlibacter terrae
MJ020-1-barcode31-umi2936bins-ubs-97	Bacteria	 Bacteroidota	 Bacteroidia	 Sphingobacteriales	 Sphingobacteriaceae	 Mucilaginibacter_A	 Mucilaginibacter_A corticis
AB546308	Bacteria	 Actinomycetota	 Actinomycetes	 Actinomycetales	 Microbacteriaceae	 Agromyces	 Agromyces sp001421565
MJ031-1-barcode30-umi38711bins-ubs-3	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae_A_595421	 Azohydromonas	 
GB-GCA-014622685.1-CP061275.1	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales_737866	 Enterobacteriaceae_A_681319	 Buchnera	 
DQ883809	Bacteria	 Deinococcota	 Deinococci	 Deinococcales	 Deinococcaceae	 Deinococcus_C	 Deinococcus_C roseus
MJ033-1-barcode34-umi42460bins-ubs-3	Bacteria	 Bacteroidota	 Bacteroidia	 Sphingobacteriales	 Sphingobacteriaceae	 Mucilaginibacter_A	 Mucilaginibacter_A ginsenosidivorans
MJ030-1-barcode42-umi76136bins-ubs-5	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Chthoniobacterales	 Chthoniobacteraceae	 VFJQ01	 VFJQ01 sp009885995
MJ030-2-barcode58-umi29723bins-ubs-23	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Saprospiraceae	 Aureispira	 Aureispira sp000724545
MJ033-1-barcode33-umi11839bins-ubs-26	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 DSM-16500	 DSM-16500	 Aquicella_A	 Aquicella_A siphonis
RS-GCF-013374095.1-NZ-AP022672.1	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae_486827	 Sphingomonas_L_486704	 Sphingomonas_L_486704 echinoides
MJ034-1-barcode34-umi13355bins-ubs-25	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae_A_595421	 Rubrivivax	 
GQ246672	Bacteria	 Actinomycetota	 Actinomycetes	 Actinomycetales	 Microbacteriaceae	 Leucobacter	 Leucobacter aridicollis
MJ020-1-barcode45-umi84829bins-ubs-4	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales_B_877923	 Flavobacteriaceae	 Flavobacterium	 Flavobacterium branchiophilum
MJ033-1-barcode37-umi43274bins-ubs-3	Bacteria	 Bdellovibrionota_473306	 UBA1018	 UBA1018	 UBA1018	 GWA1-52-35	 GWA1-52-35 sp001769805
G000315525	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae_486827	 Sphingobium_A_485959	 Sphingobium_A_485959 yanoikuyae
MJ030-1-barcode42-umi68473bins-ubs-7	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Verrucomicrobiales	 Verrucomicrobiaceae	 	 
KT228275	Bacteria	 Actinomycetota	 Actinomycetes	 Actinomycetales	 Dermatophilaceae	 Flexivirga	 Flexivirga endophytica
G004793665	Bacteria	 Actinomycetota	 Coriobacteriia	 Coriobacteriales	 Atopobiaceae	 Granulimonas	 Granulimonas faecalis
FJ796419	Bacteria	 Actinomycetota	 Actinomycetes	 Streptomycetales_400645	 Catenulisporaceae	 Catenulispora	 Catenulispora acidiphila
GB-GCA-902636675.1-CACPSQ010000086.1	Bacteria	 Actinomycetota	 Acidimicrobiia_401430	 Acidimicrobiales	 JACDCH01	 VFJN01	 
MJ007-2-barcode74-umi1156bins-ubs-386	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Puia	 Puia sp001898505
MJ030-2-barcode58-umi29655bins-ubs-22	Bacteria	 Bacillota_A_368345	 Clostridia_258483	 Clostridiales	 Caloramatoraceae	 Clostridium_AB	 Clostridium_AB cylindrosporum
HE654545	Bacteria	 Actinomycetota	 Actinomycetes	 Mycobacteriales	 Geodermatophilaceae	 Geodermatophilus	 Geodermatophilus obscurus
G902810735	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Chthoniobacterales	 UBA10450	 CADDYX01	 CADDYX01 sp902810735
JX843282	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Azospirillales_507929	 Azospirillaceae_507917	 Azospirillum	 Azospirillum thiophilum
MJ030-1-barcode25-umi35396bins-ubs-15	Bacteria	 Acidobacteriota	 Terriglobia	 Terriglobales	 Koribacteraceae	 TOLSYN	 TOLSYN sp003010405
MJ034-1-barcode25-umi26486bins-ubs-4	Bacteria	 Chloroflexota	 Ktedonobacteria	 Ktedonobacterales	 Ktedonobacteraceae	 Dictyobacter	 
MJ020-2-barcode52-umi2252bins-ubs-219	Bacteria	 Acidobacteriota	 Blastocatellia	 Pyrinomonadales	 Pyrinomonadaceae	 GCA-002050365	 GCA-002050365 sp002050355
MJ010-1-barcode47-umi59351bins-ubs-11	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae_A_595421	 Janthinobacterium_571130	 Duganella levis
KY117476	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Ferrovibrionales	 Ferrovibrionaceae	 Ferrovibrio	 Ferrovibrio sp002796975
MJ030-1-barcode42-umi27847bins-ubs-19	Bacteria	 Acidobacteriota	 Blastocatellia	 Pyrinomonadales	 Pyrinomonadaceae	 OLB17_426821	 Stenotrophobacter namibiensis
AB548616	Bacteria	 Actinomycetota	 Actinomycetes	 Mycobacteriales	 Micromonosporaceae	 Virgisporangium	 Virgisporangium aliadipatigenens
GB-GCA-016712345.1-JADJRH010000001.1	Bacteria	 Myxococcota_A_473307	 Polyangia_463783	 Polyangiales	 Polyangiaceae	 Polyangium	 
MJ030-2-barcode65-umi87664bins-ubs-5	Bacteria	 Acidobacteriota	 Terriglobia	 Bryobacterales	 Bryobacteraceae	 	 
MJ034-1-barcode48-umi3392bins-ubs-131	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Limisphaerales	 UBA8199	 UBA8199	 UBA8199 sp003527065
KR610521	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Rhizobiales_505101	 Rhizobiaceae	 Neorhizobium_500218	 Neorhizobium sp900469445
MJ031-2-barcode69-umi1250bins-ubs-253	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales_B_877923	 Flavobacteriaceae	 Flavobacterium	 Flavobacterium sangjuense
MN795832	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Chitinophaga	 Chitinophaga sp001975825
RS-GCF-005502275.1-NZ-SWLZ01000064.1	Bacteria	 Bacillota_I	 Bacilli_A	 Bacillales_B_306087	 DSM-18226_301387	 Robertmurraya_297834	 Robertmurraya massiliosenegalensis
RS-GCF-001708505.1-NZ-CP015992.1	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales_A_650611	 Pseudomonadaceae	 Pseudomonas_F_650324	 Pseudomonas_F_650324 furukawaii
G003220655	Bacteria	 Methylomirabilota	 Methylomirabilia	 Rokubacteriales	 CSP1-6	 	 
GB-GCA-017308255.1-JAFKFN010000034.1	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae_486827	 Sphingomonas_L_486704	 Sphingomonas_L_486704 aracearum
MJ030-2-barcode65-umi29704bins-ubs-22	Bacteria	 Acidobacteriota	 Terriglobia	 Bryobacterales	 Bryobacteraceae	 	 
MJ033-1-barcode32-umi17008bins-ubs-17	Bacteria	 Chloroflexota	 Ktedonobacteria	 Ktedonobacterales	 Ktedonobacteraceae	 CF-154	 
MJ032-2-barcode60-umi22320bins-ubs-24	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales_B_877923	 Weeksellaceae	 Chryseobacterium_A_796612	 Chryseobacterium_A_796612 arachidis
MJ034-1-barcode45-umi11590bins-ubs-31	Bacteria	 Bacillota_I	 Bacilli_A	 Bacillales_B_306087	 Bacillaceae_C_302575	 Margalitia	 Margalitia shackletonii
MJ020-2-barcode70-umi76817bins-ubs-3	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales_A_650611	 Pseudomonadaceae	 Pseudomonas_F_650324	 Pseudomonas_E_650190 ullengensis
MJ033-1-barcode44-umi34058bins-ubs-5	Bacteria	 Bdellovibrionota_473306	 Bdellovibrionia	 Bdellovibrionales	 1-14-0-10-45-34	 1-14-0-10-45-34	 1-14-0-10-45-34 sp002778785
G009268125	Bacteria	 Chloroflexota	 Chloroflexia	 Chloroflexales	 Roseiflexaceae	 SDU3-3	 SDU3-3 sp009268125
MJ033-1-barcode36-umi32505bins-ubs-6	Bacteria	 Acidobacteriota	 Blastocatellia	 Pyrinomonadales	 Pyrinomonadaceae	 PSRF01	 PSRF01 sp003222935
MJ034-1-barcode40-umi1940bins-ubs-218	Bacteria	 Acidobacteriota	 Blastocatellia	 Pyrinomonadales	 Pyrinomonadaceae	 OLB17_426821	 OLB17 sp001567505
MJ006-1-barcode46-umi42821bins-ubs-9	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales_737866	 Enterobacteriaceae_A_725029	 Klebsiella_724518	 Klebsiella ornithinolytica
HM274019.1.1303	Bacteria	 Cyanobacteriota	 Cyanobacteriia	 Cyanobacteriales	 Coleofasciculaceae	 Caldora	 Caldora sp010672925
MJ020-2-barcode59-umi43235bins-ubs-11	Bacteria	 Acidobacteriota	 Blastocatellia	 Pyrinomonadales	 Pyrinomonadaceae	 OLB17_426821	 Stenotrophobacter namibiensis
RS-GCF-001461705.1-NZ-AUTA01000035.1	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Rhizobiales_505101	 Rhizobiaceae	 Ensifer_A_499891	 Ensifer_A_499891 adhaerens
KM199639	Bacteria	 Actinomycetota	 Actinomycetes	 Propionibacteriales	 Nocardioidaceae	 Marmoricola_A_392027	 Nocardioides marmoriterrae
MJ007-1-barcode25-umi14428bins-ubs-18	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Opitutales	 Opitutaceae	 Lacunisphaera	 Lacunisphaera limnophila
MJ030-2-barcode50-umi46286bins-ubs-16	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Rhizobiales_505101	 Xanthobacteraceae	 Bradyrhizobium_503372	 Bradyrhizobium sp000244915
MJ010-1-barcode29-umi142806bins-ubs-4	Bacteria	 Bacteroidota	 Bacteroidia	 Sphingobacteriales	 Sphingobacteriaceae	 Sphingobacterium	 Sphingobacterium mizutaii
MJ033-1-barcode40-umi35684bins-ubs-5	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae_A_595421	 Hylemonella	 Ramlibacter terrae
MJ033-1-barcode33-umi12592bins-ubs-23	Bacteria	 Acidobacteriota	 Terriglobia	 Terriglobales	 Acidobacteriaceae	 Granulicella_C_416163	 Granulicella_C_416163 cerasi
MJ030-2-barcode58-umi10263bins-ubs-47	Bacteria	 Cyanobacteriota	 Cyanobacteriia	 Cyanobacteriales	 Coleofasciculaceae	 Caldora	 Caldora sp010672925
RS-GCF-014851915.1-NZ-JACVAP010000011.1	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Xanthomonadales	 Xanthomonadaceae	 	 
MJ034-1-barcode40-umi5453bins-ubs-81	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 	 
MJ030-2-barcode58-umi64737bins-ubs-12	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Burkholderiales	 Rhodocyclaceae	 	 
MJ031-2-barcode69-umi32608bins-ubs-11	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Verrucomicrobiales	 Akkermansiaceae	 Haloferula_776278	 Luteolibacter ambystomatis
MJ032-2-barcode65-umi74496bins-ubs-5	Bacteria	 Bacillota_A_368345	 Clostridia_258483	 Lachnospirales	 Lachnospiraceae	 CAG-510	 
MJ034-2-barcode50-umi9286bins-ubs-23	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Chthoniobacterales	 Terrimicrobiaceae	 Terrimicrobium	 Terrimicrobium sacchariphilum
MJ020-2-barcode70-umi71903bins-ubs-4	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 DSM-16500	 DSM-16500	 Aquicella_A	 
MJ030-2-barcode65-umi100971bins-ubs-4	Bacteria	 Acidobacteriota	 Terriglobia	 Terriglobales	 SbA1	 Gp1-AA122	 
MJ031-1-barcode30-umi30935bins-ubs-8	Bacteria	 Bacillota_I	 Bacilli_A	 Bacillales_A	 Planococcaceae	 Metasolibacillus_304738	 Metasolibacillus ndiopicus
RS-GCF-014062185.1-NZ-JACGCY010000001.1	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales_A_650611	 Pseudomonadaceae	 Pseudomonas_E_647464	 Pseudomonas_E_647464 juntendi
MJ030-2-barcode65-umi16199bins-ubs-35	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae_A_595421	 Ramlibacter_588642	 Ramlibacter sp001044395
G000067165	Bacteria	 Myxococcota_A_473307	 Polyangia_463783	 Polyangiales	 Polyangiaceae	 Sorangium	 Sorangium cellulosum_B
MJ010-2-barcode64-umi106338bins-ubs-4	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Niabella	 Niabella hibiscisoli
G000733915	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Caulobacterales	 Caulobacteraceae	 PMMR1	 PMMR1 sp000733915
MJ020-1-barcode31-umi12146bins-ubs-37	Bacteria	 Bacteroidota	 Bacteroidia	 Cytophagales_B	 Cyclobacteriaceae	 Chryseolinea_899021	 Chryseolinea flava
MJ030-2-barcode58-umi32844bins-ubs-22	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales_A_650612	 Cellvibrionaceae	 Cellvibrio	 Cellvibrio zantedeschiae
